"Date","Price","Open","High","Low","Vol.","Change %"
"02/27/2025","688.13","684.88","688.13","683.00","6.49K","0.86%"
"02/26/2025","682.25","697.50","699.00","677.75","77.11K","-1.87%"
"02/25/2025","695.25","714.00","719.00","694.00","44.99K","-2.35%"
"02/24/2025","712.00","712.00","716.25","707.25","37.78K","-0.70%"
"02/21/2025","717.00","732.25","733.50","711.50","60.93K","-2.42%"
"02/20/2025","734.75","724.75","736.75","721.25","78.83K","1.45%"
"02/19/2025","724.25","717.25","728.25","715.75","83.24K","0.66%"
"02/18/2025","719.50","715.00","726.00","712.75","110.84K","1.12%"
"02/17/2025","711.50","712.50","716.00","707.25","55.45K","-0.42%"
"02/14/2025","714.50","713.00","722.50","711.50","107.92K","0.78%"
"02/13/2025","709.00","712.25","714.75","699.75","125.18K","-3.37%"
"02/12/2025","733.75","736.50","736.50","729.00","0.74K","0.00%"
"02/11/2025","733.75","720.50","739.50","719.00","42.66K","2.19%"
"02/10/2025","718.00","709.75","722.00","709.75","49.25K","1.70%"
"02/07/2025","706.00","702.25","710.50","702.25","45.61K","1.58%"
"02/06/2025","695.00","697.25","700.00","689.50","143.02K","-0.25%"
"02/05/2025","696.75","712.00","713.00","696.00","102.66K","-1.73%"
"02/04/2025","709.00","706.50","715.00","693.75","135.07K","-0.46%"
"02/03/2025","712.25","719.25","726.00","701.00","192.29K","0.14%"
"01/31/2025","711.25","709.00","716.00","702.50","42.05K","0.25%"
"01/30/2025","709.50","706.50","714.75","697.75","38.30K","0.32%"
"01/29/2025","707.25","704.50","709.25","698.00","44.80K","0.89%"
"01/28/2025","701.00","707.50","714.75","699.75","42.37K","-0.46%"
"01/27/2025","704.25","721.50","721.50","697.50","50.09K","-2.42%"
"01/24/2025","721.75","717.75","729.00","716.00","57.61K","0.77%"
"01/23/2025","716.25","721.25","729.50","714.25","76.88K","-1.48%"
"01/22/2025","727.00","739.25","742.00","721.25","105.61K","-1.36%"
"01/21/2025","737.00","746.75","753.50","727.75","98.29K","-1.31%"
"01/20/2025","746.75","760.50","766.50","745.00","73.01K","-0.90%"
"01/17/2025","753.50","759.50","766.75","747.25","102.65K","-0.13%"
"01/16/2025","754.50","766.50","768.25","750.25","118.52K","-0.66%"
"01/15/2025","759.50","747.75","767.75","742.00","114.60K","2.43%"
"01/14/2025","741.50","749.75","750.00","737.75","125.25K","-1.33%"
"01/13/2025","751.50","742.75","769.50","742.75","162.21K","5.99%"
"01/10/2025","709.00","710.00","732.50","710.00","1.67K","0.00%"
"01/09/2025","709.00","699.00","711.75","695.00","44.55K","2.20%"
"01/08/2025","693.75","706.50","708.75","693.25","41.81K","-1.25%"
"01/07/2025","702.50","701.50","707.75","696.75","53.93K","-0.39%"
"01/06/2025","705.25","706.00","715.75","698.25","57.43K","0.32%"
"01/03/2025","703.00","707.75","710.00","701.00","45.09K","-1.02%"
